City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Esperance,AU,2020-06-17 02:20:26,-33.87,121.9,60.8,35,91,26.06
109,Victoria,HK,2020-06-17 02:20:13,22.29,114.16,88.0,70,0,11.99
110,Dzilam Gonzalez,MX,2020-06-17 02:20:26,21.28,-88.93,82.0,76,0,6.04
111,Huarmey,PE,2020-06-17 02:20:27,-10.07,-78.15,62.87,86,43,11.48
112,Port Lincoln,AU,2020-06-17 02:20:28,-34.73,135.87,59.2,66,9,8.72
113,Camabatela,AO,2020-06-17 02:20:28,-8.19,15.38,58.05,46,0,2.77
114,Carnarvon,AU,2020-06-17 02:20:28,-24.87,113.63,77.0,29,0,9.17
115,Aklavik,CA,2020-06-17 02:20:04,68.22,-135.01,69.8,43,75,4.7
116,Deputatskiy,RU,2020-06-17 02:20:29,69.3,139.9,72.64,37,83,12.91
117,Joniskis,LT,2020-06-17 02:20:30,56.24,23.62,53.6,93,0,1.12
118,Narasannapeta,IN,2020-06-17 02:20:30,18.42,84.05,84.04,77,100,14.88
119,Simao,CN,2020-06-17 02:20:30,22.79,100.97,69.04,94,100,3.06
120,Naze,JP,2020-06-17 02:20:31,28.37,129.48,80.6,88,75,4.7
121,Carutapera,BR,2020-06-17 02:20:31,-1.2,-46.02,75.31,92,8,6.13
122,Mastic Beach,US,2020-06-17 02:16:21,40.77,-72.85,61.0,82,1,9.95
123,Mao,ES,2020-06-17 02:20:31,39.89,4.27,66.2,82,0,5.82
124,Unguia,CO,2020-06-17 02:20:32,8.04,-77.09,77.34,89,100,2.33
125,Severo-Kurilsk,RU,2020-06-17 02:20:32,50.68,156.12,43.32,90,100,12.55
126,Fairbanks,US,2020-06-17 02:20:33,64.84,-147.72,77.0,33,1,10.29
127,Iqaluit,CA,2020-06-17 02:20:33,63.75,-68.51,35.6,80,75,3.36
128,Mananara,MG,2020-06-17 02:20:33,-16.17,49.77,67.87,85,17,8.43
129,Spearfish,US,2020-06-17 02:15:44,44.49,-103.86,64.0,66,33,14.41
130,Surt,LY,2020-06-17 02:20:34,31.21,16.59,69.06,74,0,6.69
131,Sikeston,US,2020-06-17 02:20:35,36.88,-89.59,73.4,64,1,3.36
132,Omboue,GA,2020-06-17 02:20:36,-1.57,9.26,72.73,92,98,5.82
133,Kerrobert,CA,2020-06-17 02:20:36,51.92,-109.13,66.2,48,75,6.93
134,Lebu,CL,2020-06-17 02:20:37,-37.62,-73.65,52.83,92,100,11.12
135,Bengkulu,ID,2020-06-17 02:20:37,-3.8,102.27,82.15,74,4,2.8
136,Daru,PG,2020-06-17 02:20:37,-9.08,143.21,79.11,83,100,18.07
137,Tasiilaq,GL,2020-06-17 02:20:39,65.61,-37.64,39.2,80,100,17.22
138,Cidreira,BR,2020-06-17 02:20:42,-30.18,-50.21,64.11,93,1,16.33
139,Marquette,US,2020-06-17 02:20:42,46.53,-87.63,73.0,56,55,12.68
140,Bequimao,BR,2020-06-17 02:16:20,-2.45,-44.78,80.6,83,20,5.82
141,Katsuura,JP,2020-06-17 02:20:43,35.13,140.3,84.0,61,75,6.93
142,Anadyr,RU,2020-06-17 02:20:43,64.75,177.48,69.8,35,0,8.95
143,Camacha,PT,2020-06-17 02:20:43,33.08,-16.33,66.2,93,40,2.24
144,Filingue,NE,2020-06-17 02:20:44,14.35,3.32,95.7,27,57,11.07
145,Kerema,PG,2020-06-17 02:20:44,-7.96,145.78,76.91,88,99,10.04
146,Pangody,RU,2020-06-17 02:20:44,65.85,74.49,44.71,68,100,15.21
147,Vardo,NO,2020-06-17 02:20:44,70.37,31.11,43.5,74,96,14.63
148,Lagoa,PT,2020-06-17 02:20:44,39.05,-27.98,64.47,89,49,16.28
149,Comodoro Rivadavia,AR,2020-06-17 02:20:46,-45.87,-67.5,50.0,66,0,6.93
150,Chumikan,RU,2020-06-17 02:20:47,54.72,135.31,39.2,96,100,4.07
151,Sala,MA,2020-06-17 02:19:00,34.04,-6.82,68.0,93,40,3.71
152,Wajima,JP,2020-06-17 02:20:48,37.4,136.9,68.0,77,75,9.17
153,Butaritari,KI,2020-06-17 02:20:48,3.07,172.79,83.14,79,34,10.09
154,Bintulu,MY,2020-06-17 02:20:48,3.17,113.03,86.0,79,75,4.7
155,Zeya,RU,2020-06-17 02:20:48,53.75,127.27,68.07,33,0,7.78
156,Hithadhoo,MV,2020-06-17 02:20:49,-0.6,73.08,84.54,75,90,11.36
157,Atuona,PF,2020-06-17 02:20:49,-9.8,-139.03,80.24,76,66,19.19
158,Saskylakh,RU,2020-06-17 02:20:49,71.92,114.08,63.91,32,0,19.95
159,Ziro,IN,2020-06-17 02:20:52,27.63,93.83,61.63,100,96,1.45
160,Wyndham,US,2020-06-17 02:20:11,37.7,-77.61,62.6,93,90,4.7
161,Mabaruma,GY,2020-06-17 02:20:53,8.2,-59.78,75.33,96,100,1.97
162,Marshall,US,2020-06-17 02:20:53,34.38,-86.33,68.0,77,1,1.61
163,Port-Gentil,GA,2020-06-17 02:20:54,-0.72,8.78,74.01,91,100,14.03
164,Richards Bay,ZA,2020-06-17 02:20:55,-28.78,32.04,60.71,79,98,4.32
165,Kikwit,CD,2020-06-17 02:20:55,-5.04,18.82,67.05,50,0,2.42
166,Dingle,PH,2020-06-17 02:20:56,11.0,122.67,87.82,59,100,5.37
167,Clyde River,CA,2020-06-17 02:20:56,70.47,-68.59,37.4,84,90,6.93
168,Avarua,CK,2020-06-17 02:20:56,-21.21,-159.78,75.2,57,0,6.93
169,Arkhangelsk,RU,2020-06-17 02:20:56,64.54,40.54,44.6,87,20,4.47
170,Parry Sound,CA,2020-06-17 02:15:59,45.35,-80.03,62.01,64,0,1.36
171,Lavrentiya,RU,2020-06-17 02:20:57,65.58,-171.0,51.91,55,0,4.12
172,Menongue,AO,2020-06-17 02:20:57,-14.66,17.69,47.97,74,0,3.69
173,Sterling,US,2020-06-17 02:20:57,39.01,-77.43,69.8,46,90,10.29
174,Sitka,US,2020-06-17 02:20:58,57.05,-135.33,51.8,81,90,4.7
175,Saint-Francois,FR,2020-06-17 02:20:58,46.42,3.91,55.4,82,90,3.36
176,Tulun,RU,2020-06-17 02:20:59,54.56,100.58,59.04,59,7,3.51
177,Chabahar,IR,2020-06-17 02:21:03,25.29,60.64,85.15,84,92,9.22
178,Havoysund,NO,2020-06-17 02:21:03,71.0,24.66,42.8,75,75,16.11
179,Saint-Louis,SN,2020-06-17 02:21:03,16.33,-15.0,83.59,47,100,15.14
180,Kalmunai,LK,2020-06-17 02:21:04,7.42,81.82,83.12,71,85,4.05
181,Chiang Khong,TH,2020-06-17 02:21:04,20.26,100.4,78.8,88,75,2.24
182,Isangel,VU,2020-06-17 02:21:04,-19.55,169.27,80.6,69,75,13.87
183,Cayenne,GF,2020-06-17 02:21:05,4.93,-52.33,75.2,100,90,5.73
184,Matara,LK,2020-06-17 02:21:05,5.95,80.54,81.41,86,91,8.46
185,Saint Anthony,US,2020-06-17 02:17:30,45.02,-93.22,82.4,39,1,13.87
186,Port Hardy,CA,2020-06-17 02:21:06,50.7,-127.42,59.0,67,20,13.87
187,Kavieng,PG,2020-06-17 02:21:07,-2.57,150.8,85.96,62,40,6.38
188,Fort Nelson,CA,2020-06-17 02:21:07,58.81,-122.7,53.6,93,90,4.7
189,Vestmanna,FO,2020-06-17 02:21:07,62.16,-7.17,48.2,93,100,19.46
190,Guerrero Negro,MX,2020-06-17 02:18:37,27.98,-114.06,66.4,74,0,16.8
191,Meulaboh,ID,2020-06-17 02:21:09,4.14,96.13,82.71,65,76,3.06
192,Vostok,RU,2020-06-17 02:21:09,46.49,135.88,49.66,98,100,3.22
193,Markivka,UA,2020-06-17 02:16:36,49.52,39.57,61.75,54,0,11.95
194,Grandview,US,2020-06-17 02:19:55,38.89,-94.53,80.6,61,1,8.05
195,Lompoc,US,2020-06-17 02:21:10,34.64,-120.46,60.8,63,0,18.34
196,Corinth,GR,2020-06-17 02:21:11,37.94,22.96,69.01,61,0,11.99
197,La Macarena,CO,2020-06-17 02:21:12,2.18,-73.78,71.65,95,4,1.63
198,Paamiut,GL,2020-06-17 02:21:13,61.99,-49.67,37.65,76,87,1.68
199,Puerto Ayora,EC,2020-06-17 02:21:13,-0.74,-90.35,72.0,90,83,1.99
200,Mehamn,NO,2020-06-17 02:21:14,71.04,27.85,42.1,75,96,13.11
201,Longyearbyen,SJ,2020-06-17 02:21:14,78.22,15.64,37.4,69,75,10.29
202,Koundara,GN,2020-06-17 02:21:14,12.48,-13.3,78.89,54,100,7.4
203,Constitucion,CL,2020-06-17 02:19:28,-35.33,-72.42,54.59,93,94,8.48
204,Nome,US,2020-06-17 02:21:15,64.5,-165.41,71.01,52,40,13.87
205,Olga,RU,2020-06-17 02:21:16,43.74,135.29,50.54,95,100,3.22
206,Sao Gabriel Da Cachoeira,BR,2020-06-17 02:21:16,-0.13,-67.09,73.72,96,92,0.78
207,Tekeli,KZ,2020-06-17 02:21:16,44.83,78.82,63.25,48,91,3.71
208,Sao Filipe,CV,2020-06-17 02:21:17,14.9,-24.5,75.45,83,0,8.7
209,Forbes,AU,2020-06-17 02:21:17,-33.38,148.02,57.83,62,0,6.15
210,Sri Aman,MY,2020-06-17 02:21:18,1.24,111.46,84.2,79,75,2.24
211,Asyut,EG,2020-06-17 02:21:18,27.18,31.18,75.22,27,0,3.38
212,Souillac,MU,2020-06-17 02:21:18,-20.52,57.52,69.8,83,40,14.99
213,Dubrovka,RU,2020-06-17 02:21:18,53.69,33.51,60.8,67,0,6.71
214,Pacific Grove,US,2020-06-17 02:19:35,36.62,-121.92,62.6,67,20,9.17
215,Grindavik,IS,2020-06-17 02:21:19,63.84,-22.43,44.6,81,75,8.05
216,El Escorial,ES,2020-06-17 02:21:19,40.59,-4.15,63.0,59,54,8.52
217,Ilulissat,GL,2020-06-17 02:21:20,69.22,-51.1,37.4,74,93,3.36
218,Doka,SD,2020-06-17 02:21:20,13.52,35.77,76.1,69,100,1.88
219,San Luis,AR,2020-06-17 02:21:21,-33.3,-66.34,54.68,52,70,13.58
220,Mizoch,UA,2020-06-17 02:21:21,50.4,26.15,60.01,98,0,4.45
221,Aksarka,RU,2020-06-17 02:21:21,66.56,67.8,42.49,61,0,16.37
222,Chokwe,MZ,2020-06-17 02:21:21,-24.53,32.98,58.78,95,75,10.27
223,Farsala,GR,2020-06-17 02:21:22,39.29,22.38,69.8,52,20,9.17
224,Mogadishu,SO,2020-06-17 02:21:22,2.04,45.34,77.36,82,53,16.73
225,Pandan,PH,2020-06-17 02:21:22,14.05,124.17,85.44,67,77,3.8
226,Pimentel,PE,2020-06-17 02:21:23,-6.84,-79.93,64.54,87,10,15.12
227,Yellowknife,CA,2020-06-17 02:19:09,62.46,-114.35,62.6,42,20,14.99
228,Mangrol,IN,2020-06-17 02:21:23,21.12,70.12,84.29,81,64,8.21
229,Bowen,AU,2020-06-17 02:21:24,-20.02,148.23,75.99,64,90,18.34
230,Nueva Londres,PY,2020-06-17 02:21:24,-25.4,-56.55,69.98,72,43,7.83
231,Alyangula,AU,2020-06-17 02:21:25,-13.85,136.42,80.6,61,40,10.29
232,Eyl,SO,2020-06-17 02:21:25,7.98,49.82,83.34,56,100,27.51
233,Cherskiy,RU,2020-06-17 02:21:25,68.75,161.3,78.85,24,42,1.63
234,Padang,ID,2020-06-17 02:21:26,-0.95,100.35,84.04,67,18,0.96
235,Torbay,CA,2020-06-17 02:21:26,47.67,-52.73,59.0,58,40,20.8
236,Mahebourg,MU,2020-06-17 02:21:27,-20.41,57.7,69.8,83,40,14.99
237,Watsa,CD,2020-06-17 02:21:27,3.04,29.54,63.68,100,97,1.68
238,Reus,ES,2020-06-17 02:21:28,41.16,1.11,64.0,82,0,1.12
239,Nanortalik,GL,2020-06-17 02:21:28,60.14,-45.24,37.13,83,31,10.22
240,Marks,RU,2020-06-17 02:21:29,51.71,46.75,66.0,51,0,3.0
241,Birobidzhan,RU,2020-06-17 02:21:29,48.8,132.95,61.02,62,60,11.18
242,Boulsa,BF,2020-06-17 02:21:30,12.67,-0.58,85.3,50,81,12.53
243,Tiksi,RU,2020-06-17 02:21:30,71.69,128.87,52.65,48,100,6.58
244,Pangai,TO,2020-06-17 02:21:30,-19.8,-174.35,78.8,61,20,17.22
245,Mombaca,BR,2020-06-17 02:16:55,-5.74,-39.63,71.44,92,10,6.42
246,Hamilton,US,2020-06-17 02:21:31,39.18,-84.53,73.0,64,1,5.44
247,Iset,RU,2020-06-17 02:21:31,56.98,60.37,64.4,63,47,8.95
