City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
74,Dakar,SN,80.6,14.69,-17.44,Novotel Dakar
76,Hithadhoo,MV,83.82,-0.6,73.08,Scoop Guest House
81,Victoria,HK,89.6,22.29,114.16,Mini Hotel Central
82,Batemans Bay,AU,63.0,-35.72,150.18,Coachhouse Marina Resort - Batemans Bay
84,Faya,SA,68.0,18.39,42.45,مقبرة ال مجمل
86,Portland,US,73.99,45.52,-122.68,Portland Marriott City Center
87,Souillac,MU,69.8,-20.52,57.52,Bils' Villa
92,Aklavik,CA,60.8,68.22,-135.01,Aklavik Inn
93,Cockburn Town,TC,82.89,21.46,-71.14,Osprey Beach Hotel
94,Pisco,PE,62.6,-13.7,-76.22,Hostal San Isidro Oficial
95,Isangel,VU,75.54,-19.55,169.27,Volcano Sea View Tree House
98,Carnarvon,AU,69.8,-24.87,113.63,Hospitality Carnarvon
104,Pozo Colorado,PY,79.2,-23.49,-58.8,Hospedaje la Amistad
106,Caravelas,BR,68.95,-17.71,-39.25,Pousada dos Navegantes
108,Talnakh,RU,60.8,69.49,88.4,Talnakh Hotel
109,Hun,LY,67.98,29.13,15.95,Alrwasi Hotel
110,Strelice,CZ,62.01,49.15,16.5,Penzion-restaurace Jaroš
111,Alofi,NU,80.6,-19.06,-169.92,Taloa Heights
112,Touros,BR,73.4,-5.2,-35.46,INN NEW HORIZON
114,Galesong,ID,82.4,-5.32,119.37,Sapriadi Appy
115,Buraydah,SA,77.0,26.33,43.98,Mövenpick Hotel Qassim
116,Honiara,SB,89.6,-9.43,159.95,Heritage Park Hotel
117,Harpalpur,IN,89.87,25.29,79.33,LDS Parvati Palace
119,Lagoa,PT,66.0,39.05,-27.98,Casa Das Faias
120,Poum,NC,72.61,-20.23,164.02,Gîte kajeon
121,Eureka,US,64.99,40.8,-124.16,Eureka Inn Trademark By Wyndham
122,Carutapera,BR,75.52,-1.2,-46.02,Lidera
125,Cherskiy,RU,75.04,68.75,161.3,Gostinitsa
127,Svetlyy,RU,64.4,54.67,20.13,"Hostel ""Baltiysky Les"""
128,Broome,US,73.4,42.25,-75.83,Chenango Valley State Park
130,Bassila,BJ,70.72,9.01,1.67,COMPLEXE MAKOYA ET FILS
131,Koumra,TD,74.19,8.91,17.55,Motel Espoir
132,Payo,ID,78.6,-3.75,103.64,Mess keban agung
133,Airai,TL,68.65,-8.93,125.41,Juvinal Martin
134,Kalmunai,LK,83.8,7.42,81.82,VS Villa
137,Aswan,EG,80.87,24.09,32.91,Nuba Nile
139,Port Blair,IN,84.7,11.67,92.75,Hotel Sentinel
140,Marshall,US,75.99,34.38,-86.33,Lake Guntersville Bed and Breakfast
142,Bengkulu,ID,81.03,-3.8,102.27,Grage Hotel Bengkulu
145,Saskylakh,RU,65.5,71.92,114.08,
148,Hasaki,JP,68.0,35.73,140.83,Inubosaki Kanko Hotel
151,Ouesso,CG,71.11,1.61,16.05,Hôtel ABENI
152,Milkovo,RU,72.03,54.72,158.62,"Hotel ""Geologist"""
153,Kyakhta,RU,65.39,50.35,106.45,"Gostinitsa ""Yuzhnaya"""
156,Saint-Philippe,RE,68.0,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
158,North Bend,US,69.01,43.41,-124.22,Red Lion Hotel Coos Bay
160,Matay,EG,74.03,28.42,30.78,Nag Aespen
161,Cidreira,BR,68.31,-30.18,-50.21,Novomar Pousada e Turismo Ltda
163,Ballina,AU,64.99,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
164,Butaritari,KI,83.16,3.07,172.79,Isles Sunset Lodge
165,Tiarei,PF,84.2,-17.53,-149.33,Le Rocher de Tahiti
167,Thompson,CA,60.8,55.74,-97.86,Burntwood Hotel
169,Evensk,RU,71.15,61.95,159.23,
171,Slidell,US,82.99,30.28,-89.78,Hampton Inn Slidell
172,Chicama,PE,65.73,-7.84,-79.15,Hospedaje Punta Cana PERU
173,Gat,IL,80.01,31.61,34.76,רגע בנחת
176,Atuona,PF,80.37,-9.8,-139.03,Villa Enata
179,Kununurra,AU,80.6,-15.77,128.73,Hotel Kununurra
182,Daru,PG,80.91,-9.08,143.21,New century hotel
183,Praia,CV,77.0,14.92,-23.51,LT Aparthotel
185,Punta Cardon,VE,80.53,11.66,-70.22,Posada Bambuda
188,Quballat,TN,71.6,36.54,9.66,Firma Ben Ammar
189,Kapaa,US,82.4,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
190,Vila Franca Do Campo,PT,64.4,37.72,-25.43,Pestana Bahia Praia
