City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
120,Poum,NC,-20.23,164.02,72.61,72,24,7.18,few clouds,0.0,0
121,Eureka,US,40.8,-124.16,64.99,84,11,7.0,few clouds,0.0,0
122,Carutapera,BR,-1.2,-46.02,75.52,93,100,5.55,overcast clouds,0.0,0
123,Nikolskoye,RU,59.7,30.79,57.2,67,0,6.71,clear sky,0.0,0
124,Mnogovershinnyy,RU,53.94,139.92,45.48,81,100,4.97,overcast clouds,0.0,0
125,Cherskiy,RU,68.75,161.3,75.04,38,34,17.25,scattered clouds,0.0,0
126,Vrangel,RU,42.73,133.08,59.77,94,100,8.75,overcast clouds,0.0,0
127,Svetlyy,RU,54.67,20.13,64.4,93,75,3.31,broken clouds,0.0,0
128,Broome,US,42.25,-75.83,73.4,64,1,4.7,clear sky,0.0,0
129,Vestmannaeyjar,IS,63.44,-20.27,50.41,92,100,18.3,light rain,0.78,0
130,Bassila,BJ,9.01,1.67,70.72,99,89,5.12,overcast clouds,0.0,0
131,Koumra,TD,8.91,17.55,74.19,77,98,4.09,overcast clouds,0.0,0
132,Payo,ID,-3.75,103.64,78.6,77,70,1.88,broken clouds,0.0,0
133,Airai,TL,-8.93,125.41,68.65,64,76,4.38,broken clouds,0.0,0
134,Kalmunai,LK,7.42,81.82,83.8,67,100,5.08,overcast clouds,0.0,0
135,Fairbanks,US,64.84,-147.72,53.6,93,90,8.05,moderate rain,1.02,0
136,Constitucion,CL,-35.33,-72.42,50.31,76,98,4.05,overcast clouds,0.0,0
137,Aswan,EG,24.09,32.91,80.87,18,27,5.99,scattered clouds,0.0,0
138,Bluff,NZ,-46.6,168.33,44.83,71,0,3.09,clear sky,0.0,0
139,Port Blair,IN,11.67,92.75,84.7,77,69,9.13,broken clouds,0.0,0
140,Marshall,US,34.38,-86.33,75.99,88,1,3.36,clear sky,0.0,0
141,Heidenau,DE,50.97,13.87,59.0,72,0,4.7,clear sky,0.0,0
142,Bengkulu,ID,-3.8,102.27,81.03,76,99,4.25,overcast clouds,0.0,0
143,Honningsvag,NO,70.98,25.97,44.51,92,98,10.0,overcast clouds,0.0,0
144,Ornskoldsvik,SE,63.29,18.72,48.2,87,0,3.36,clear sky,0.0,0
145,Saskylakh,RU,71.92,114.08,65.5,50,86,7.74,overcast clouds,0.0,0
146,Mar Del Plata,AR,-38.0,-57.56,48.0,93,20,3.36,few clouds,0.0,0
147,Katangli,RU,51.71,143.23,48.31,77,100,13.4,overcast clouds,0.0,0
148,Hasaki,JP,35.73,140.83,68.0,94,90,11.41,moderate rain,0.0,0
149,Ilulissat,GL,69.22,-51.1,44.6,65,39,2.24,scattered clouds,0.0,0
150,Esperance,AU,-33.87,121.9,46.4,70,0,17.22,clear sky,0.0,0
151,Ouesso,CG,1.61,16.05,71.11,86,100,1.77,overcast clouds,0.0,0
152,Milkovo,RU,54.72,158.62,72.03,45,88,0.27,overcast clouds,0.0,0
153,Kyakhta,RU,50.35,106.45,65.39,60,100,11.32,overcast clouds,0.0,0
154,Krasnyy Chikoy,RU,50.36,108.75,54.59,90,100,3.6,moderate rain,2.34,0
155,Teya,RU,60.38,92.63,57.69,77,100,3.22,overcast clouds,0.0,0
156,Saint-Philippe,RE,-21.36,55.77,68.0,68,40,8.05,scattered clouds,0.0,0
157,Kaitangata,NZ,-46.28,169.85,46.0,67,0,4.0,clear sky,0.0,0
158,North Bend,US,43.41,-124.22,69.01,77,1,17.22,clear sky,0.0,0
159,Moron,AR,-34.65,-58.62,54.0,82,100,1.99,overcast clouds,0.0,0
160,Matay,EG,28.42,30.78,74.03,49,0,9.04,clear sky,0.0,0
161,Cidreira,BR,-30.18,-50.21,68.31,85,62,7.7,broken clouds,0.0,0
162,Lebu,CL,-37.62,-73.65,51.44,83,98,20.83,light rain,0.15,0
163,Ballina,AU,-28.87,153.57,64.99,48,0,12.75,clear sky,0.0,0
164,Butaritari,KI,3.07,172.79,83.16,76,3,13.8,clear sky,0.0,0
165,Tiarei,PF,-17.53,-149.33,84.2,62,40,9.17,scattered clouds,0.0,0
166,Xiantao,CN,30.38,113.4,71.1,97,100,6.44,moderate rain,1.89,0
167,Thompson,CA,55.74,-97.86,60.8,82,75,5.82,broken clouds,0.0,0
168,Clyde River,CA,70.47,-68.59,37.4,86,1,3.36,clear sky,0.0,0
169,Evensk,RU,61.95,159.23,71.15,44,96,5.17,overcast clouds,0.0,0
170,Kostyantynivka,UA,48.53,37.71,65.57,89,100,19.55,light rain,0.12,0
171,Slidell,US,30.28,-89.78,82.99,74,1,5.82,clear sky,0.0,0
172,Chicama,PE,-7.84,-79.15,65.73,74,2,4.54,clear sky,0.0,0
173,Gat,IL,31.61,34.76,80.01,68,0,10.0,clear sky,0.0,0
174,Aranos,NA,-24.13,19.12,48.96,48,0,10.54,clear sky,0.0,0
175,Puerto Madryn,AR,-42.77,-65.04,50.68,47,99,15.12,overcast clouds,0.0,0
176,Atuona,PF,-9.8,-139.03,80.37,73,14,12.64,few clouds,0.0,0
177,Yermish,RU,54.77,42.27,50.63,87,0,4.47,clear sky,0.0,0
178,Mitu,CO,1.2,-70.17,72.82,97,81,1.12,moderate rain,1.3,0
179,Kununurra,AU,-15.77,128.73,80.6,24,0,14.99,clear sky,0.0,0
180,Pangody,RU,65.85,74.49,54.14,60,0,8.79,clear sky,0.0,0
181,Pevek,RU,69.7,170.31,42.17,85,100,14.99,light rain,0.15,0
182,Daru,PG,-9.08,143.21,80.91,79,9,12.68,clear sky,0.0,0
183,Praia,CV,14.92,-23.51,77.0,78,20,11.41,few clouds,0.0,0
184,Longyearbyen,SJ,78.22,15.64,42.8,70,20,3.36,few clouds,0.0,0
185,Punta Cardon,VE,11.66,-70.22,80.53,80,96,28.34,overcast clouds,0.0,0
186,Yichang,CN,30.71,111.28,71.01,86,100,0.96,heavy intensity rain,10.81,0
187,Kapit,MY,2.02,112.93,75.65,94,100,1.41,light rain,0.42,0
188,Quballat,TN,36.54,9.66,71.6,60,20,14.99,few clouds,0.0,0
189,Kapaa,US,22.08,-159.32,82.4,69,20,12.75,few clouds,0.0,0
190,Vila Franca Do Campo,PT,37.72,-25.43,64.4,93,20,6.85,few clouds,0.0,0
191,Voloshka,RU,61.33,40.09,46.51,74,0,2.53,clear sky,0.0,0
192,San Cristobal,VE,7.77,-72.22,66.27,89,100,3.69,overcast clouds,0.0,0
193,Peniche,PT,39.36,-9.38,64.99,92,6,11.01,clear sky,0.0,0
194,Sibolga,ID,1.74,98.78,80.11,74,100,3.04,light rain,0.21,0
195,Emba,KZ,48.83,58.14,67.3,63,0,10.74,clear sky,0.0,0
196,Barbastro,ES,42.04,0.13,66.2,77,0,6.93,clear sky,0.0,0
197,Catamarca,AR,-28.47,-65.79,62.01,69,5,10.45,clear sky,0.0,0
198,Ixtapa,MX,20.7,-105.2,84.2,66,75,9.17,broken clouds,0.0,0
199,Deputatskiy,RU,69.3,139.9,83.46,23,21,2.42,few clouds,0.0,0
